"BULELENG","Freq"
"Sea turtle",1
"Seaduck",1
"Seahorse",1
"Seamount",1
"Security lighting",1
"Serrano pepper",1
"Shamrock",1
"Shelf",1
"Shield volcano",1
"Shinto shrine",1
"Shoe",1
"Shorebird",1
"Shorts",1
"Side dish",1
"Skewer",1
"Skimboarding",1
"Skin care",1
"Sleeve",1
"Slope",1
"Slug",1
"Smoothie",1
"Snake",1
"Snipe",1
"Soapberry family",1
"Solanales",1
"Sorrel",1
"Sour",1
"Souvlaki",1
"Speedometer",1
"Spiny lobster",1
"Spiral",1
"Sports",1
"Sports equipment",1
"Sports toy",1
"Spruce-fir forest",1
"Square",1
"Stable",1
"Steeple",1
"Steppe",1
"Stick and Ball Games",1
"Stone wall",1
"Storage basket",1
"Storage tank",1
"Straw",1
"Strawberries",1
"Stream bed",1
"Street artist",1
"Street dance",1
"Street fashion",1
"Street light",1
"Street sign",1
"studio couch",1
"Stupa",1
"Subcompact car",1
"Suit",1
"Suite",1
"Superfood",1
"Supper",1
"Surface water sports",1
"Swallow",1
"Sweet grass",1
"Swimwear",1
"Symbol",1
"Syngnathiformes",1
"Tabasco pepper",1
"Tablecloth",1
"Tableware",1
"Tachometer",1
"Tagetes",1
"Talempong",1
"Tarantula",1
"Tartan",1
"Teal",1
"Team sport",1
"Theatrical scenery",1
"Thermae",1
"Thigh",1
"Tide",1
"Tide pool",1
"Totem pole",1
"Trade",1
"Triangle",1
"Turkish van",1
"Turret",1
"Turtle",1
"Urban design",1
"Vehicle door",1
"Vehicle registration plate",1
"Viburnum",1
"Waist",1
"Warehouse",1
"Water park",1
"Water sport",1
"Wedding",1
"Wedding dress",1
"Wedding reception",1
"Wheat",1
"White-collar worker",1
"wild sweet potato",1
"Wind",1
"Window treatment",1
"Windshield",1
"Winter",1
"Wire",1
"Wire hair fox terrier",1
"Wolfdog",1
"Wood chopping",1
"Woods' rose",1
"Worm",1
"Woven fabric",1
"Wrist",1
"Yakitori",1
"Yard",1
"Zebu",1
"zedoary",1
"Zingiberales",1
"Adventure game",2
"Aegean cat",2
"Aerial photography",2
"Alcoholic beverage",2
"Alismatales",2
"Alley",2
"Animal migration",2
"Animation",2
"Aquarium decor",2
"Argiope",2
"Astronomical object",2
"Automotive exterior",2
"Automotive tire",2
"Automotive wheel system",2
"Automotive window part",2
"Azure",2
"Backpacking",2
"Bamboo",2
"Banner",2
"Bathing",2
"Beer",2
"Belted Kingfisher",2
"Bicycle frame",2
"Bird's-eye view",2
"bird of paradise",2
"Boardwalk",2
"Boating",2
"Borassus flabellifer",2
"Bottlenose dolphin",2
"Boutique",2
"Brickwork",2
"Bridge",2
"Bridle",2
"Budgie",2
"Bus",2
"Butterfly",2
"Cage",2
"Canna family",2
"Canoe birch",2
"Cap",2
"Carbonated soft drinks",2
"Caribbean",2
"Cart",2
"Cat",2
"Cave",2
"Cestrum",2
"Cetacea",2
"Cheering",2
"Chinese new year",2
"Citrus",2
"Clergy",2
"Cobalt blue",2
"Coca-cola",2
"Combretaceae",2
"Commercial vehicle",2
"Common bottlenose dolphin",2
"Compact car",2
"Competition event",2
"Compost",2
"Costume design",2
"Cow-goat family",2
"Crinum",2
"Cut flowers",2
"Cycle sport",2
"Dairy",2
"Dairy cow",2
"Dancer",2
"Deck",2
"Deer",2
"desert rose",2
"Desk",2
"Dirt road",2
"Diving equipment",2
"Diving mask",2
"Dock",2
"Dog",2
"Dog breed",2
"Dolphin",2
"Drum",2
"Duck",2
"Egg",2
"European shorthair",2
"Evergreen",2
"Extinct volcano",2
"Extreme sport",2
"Eyelash",2
"Falconiformes",2
"Fashion design",2
"Fault",2
"Feeder fish",2
"Flagstone",2
"Flesh",2
"Flock",2
"Floral design",2
"fragrant white water lily",2
"Fungus",2
"Gargoyle",2
"Ginger family",2
"Glass bottle",2
"Grandparent",2
"Grove",2
"Guard rail",2
"Highway",2
"Hippeastrum",2
"Horse harness",2
"Horse tack",2
"House finch",2
"Human leg",2
"Impatiens",2
"Indian musical instruments",2
"Jaw",2
"Job",2
"Juice",2
"Kindergarten",2
"Koi",2
"Lace",2
"Landscape lighting",2
"Lecythidaceae",2
"Leisure centre",2
"Lens flare",2
"lionfish",2
"Liquid",2
"Litter",2
"Machine",2
"Mahout",2
"Mansion",2
"Marine mammal",2
"Mascot",2
"Medieval architecture",2
"Meditation",2
"Membrane-winged insect",2
"Meteorological phenomenon",2
"Mineral water",2
"Miniature golf",2
"Minivan",2
"Molluscs",2
"Moped",2
"Morinda",2
"Morinda citrifolia",2
"Morning glory family",2
"Moss",2
"Mountaineering",2
"Music venue",2
"National historic landmark",2
"Neck",2
"Net",2
"Nightingale",2
"Number",2
"Office",2
"Outdoor table",2
"Overhead power line",2
"Paper",2
"Parade",2
"Parrot",2
"Passion flower",2
"Passion flower family",2
"Path",2
"Peach",2
"Peccary",2
"Pergola",2
"Pope",2
"Porch",2
"Rain",2
"Red sky at morning",2
"Religious item",2
"Riparian zone",2
"Road trip",2
"Roe deer",2
"Romance",2
"Sapodilla family",2
"Scaled reptile",2
"Screenshot",2
"Scuba diving",2
"Shadow",2
"Ship",2
"Short-beaked common dolphin",2
"Sidewalk",2
"Small to medium-sized cats",2
"Smoke",2
"Snails and slugs",2
"Soft drink",2
"Sparrow",2
"Spider",2
"Spinner dolphin",2
"Spoke",2
"Sponge",2
"Sporting Group",2
"Sports drink",2
"State school",2
"Stenella",2
"Stole",2
"Stratovolcano",2
"Strawberry",2
"String instrument",2
"Striped dolphin",2
"Subshrub",2
"Sunglasses",2
"Supermarket",2
"Surfing",2
"Sweetness",2
"Symmetry",2
"Text",2
"Tooth",2
"Toy",2
"Traffic",2
"Traffic sign",2
"Urban area",2
"Valdivian temperate rain forest",2
"Valley",2
"Van",2
"Villa",2
"Visual arts",2
"Water bird",2
"Waterfowl",2
"Wetland",2
"Whiskers",2
"Wicker",2
"Wood stain",2
"Wrap",2
"Wren",2
"Wrinkle",2
"Advertising",3
"Altar",3
"Amaryllis belladonna",3
"anemone fish",3
"Animal shelter",3
"Apartment",3
"Arm",3
"Banana",3
"Banana family",3
"Bedrock",3
"Bird migration",3
"Bottled water",3
"Chair",3
"Charadriiformes",3
"Chrysopogon zizanioides",3
"Cola",3
"Convenience store",3
"Courtyard",3
"Crab",3
"Crustacean",3
"Cuculiformes",3
"Daylighting",3
"Dessert",3
"Distilled beverage",3
"Diving",3
"Domestic pig",3
"Drinking water",3
"Ear",3
"Environmental art",3
"Felidae",3
"Fin",3
"Finger food",3
"Flea market",3
"Floristry",3
"Formal wear",3
"Garden gnome",3
"Greengrocer",3
"Grocer",3
"Helmet",3
"Holacanthus",3
"Holy places",3
"Home door",3
"Honeymoon",3
"Indian cuisine",3
"Insect",3
"Jay",3
"Klippe",3
"Lagoon",3
"Livestock",3
"Lobby",3
"Lotus",3
"Love",3
"Marching",3
"Material property",3
"Midnight",3
"Monastery",3
"Mountain bike",3
"Musician",3
"Nonbuilding structure",3
"Outdoor furniture",3
"Painting",3
"Parakeet",3
"Party",3
"Patio",3
"Plastic",3
"Plastic bottle",3
"Portrait",3
"Private school",3
"Religious institute",3
"Resort town",3
"Retail",3
"School uniform",3
"Service",3
"Shed",3
"Shopkeeper",3
"Sign",3
"Signage",3
"Silhouette",3
"Snack",3
"Space",3
"Spire",3
"Sport venue",3
"Stage",3
"Staple food",3
"Star",3
"Street dog",3
"Sun hat",3
"T-shirt",3
"Terrain",3
"Tile",3
"Tool",3
"Triggerfish",3
"Turquoise",3
"Underwater diving",3
"Vascular plant",3
"Water bottle",3
"Watercolor paint",3
"Woodpecker finch",3
"Wrasses",3
"Auto part",4
"Bed",4
"Bedroom",4
"Beige",4
"Bicycle",4
"Boar",4
"Bony-fish",4
"Bovine",4
"Brick",4
"Canidae",4
"Carnivore",4
"Ceramic",4
"Chef",4
"Clothing",4
"Coconut",4
"Coconut water",4
"Decapoda",4
"Dragon",4
"Electronic device",4
"Ensete",4
"Fashion",4
"Fishing vessel",4
"Flatworm",4
"Freediving",4
"Hardwood",4
"Hat",4
"Hiking",4
"Inlet",4
"Interaction",4
"Iron",4
"Land vehicle",4
"Liqueur",4
"Loom",4
"Lotus family",4
"Masque",4
"Maya city",4
"Morning glory",4
"Mount scenery",4
"Old-growth forest",4
"Old World flycatcher",4
"Orange",4
"Panorama",4
"Performance art",4
"Phragmites",4
"Product",4
"Promontory",4
"Reptile",4
"Road surface",4
"Sacred lotus",4
"Sea anemone",4
"Seabird",4
"Spider web",4
"Stairs",4
"Stall",4
"Still life photography",4
"Suidae",4
"Thatching",4
"Turban",4
"Vegetarian food",4
"Waste",4
"Weaving",4
"Wheel",4
"Alcohol",5
"Annual plant",5
"Aquatic plant",5
"Baby",5
"Backyard",5
"Bight",5
"Bottle",5
"Brunch",5
"Butterflyfish",5
"Class",5
"Comfort food",5
"Cycling",5
"Design",5
"Eating",5
"Ecoregion",5
"Facade",5
"Flight",5
"Footwear",5
"Fountain",5
"Gesture",5
"Glass",5
"Grocery store",5
"Hawker",5
"Houseplant",5
"Indian elephant",5
"Japanese macaque",5
"Lake district",5
"Landscaping",5
"Loch",5
"Mask",5
"Monk",5
"Motorcycling",5
"Nepenthes",5
"Pavilion",5
"Perennial plant",5
"Performing arts",5
"Personal protective equipment",5
"Prairie",5
"Rite",5
"Scorpionfish",5
"Secondary school",5
"Social group",5
"Sound",5
"Street food",5
"Wind wave",5
"Woodland",5
"Arch",6
"Archaeological site",6
"Blond",6
"Breakfast",6
"Classroom",6
"Cook",6
"Dance",6
"Daytime",6
"Education",6
"Electric blue",6
"Elephant",6
"Elephants and Mammoths",6
"Eyewear",6
"Farmworker",6
"Figurine",6
"Fish pond",6
"Flooring",6
"Headland",6
"Magenta",6
"Mouth",6
"Muscle",6
"Musical instrument",6
"Mythology",6
"Pasture",6
"Relief",6
"Shrubland",6
"Snorkeling",6
"Songbird",6
"Street performance",6
"Style",6
"Thumb",6
"Tribe",6
"Walking",6
"water lily",6
"Ancient history",7
"Audience",7
"Barechested",7
"Blessing",7
"Close-up",7
"Cumulus",7
"Darkness",7
"Drizzle",7
"Eco hotel",7
"Fawn",7
"Hairstyle",7
"Lighting",7
"Long hair",7
"Lunch",7
"Motor vehicle",7
"Motorcycle",7
"Outerwear",7
"School",7
"Shack",7
"Shade",7
"Spring break",7
"Stream",7
"Swimming",7
"Working animal",7
"Anthurium",8
"Cool",8
"Coraciiformes",8
"Costume",8
"Elaeis",8
"Fruit tree",8
"Gazebo",8
"Heliconia",8
"Meadow",8
"Memorial",8
"National park",8
"Red",8
"Sari",8
"Technology",8
"Training",8
"Violet",8
"Worship",8
"Zoo",8
"Ceiling",9
"Chin",9
"Dress",9
"Farmer",9
"Finch",9
"Finger",9
"Folk dance",9
"Font",9
"Games",9
"Human settlement",9
"Outcrop",9
"Pole",9
"Pomacentridae",9
"Reflecting pool",9
"Restaurant",9
"Sand",9
"Sea slug",9
"Standing",9
"State park",9
"Trunk",9
"Watercraft",9
"Whole food",9
"Yellow",9
"Bank",10
"Bay",10
"Classical sculpture",10
"Door",10
"Dusk",10
"Family",10
"Hand",10
"Lane",10
"Macro photography",10
"Park",10
"People in nature",10
"Pilgrimage",10
"Public event",10
"Stony coral",10
"Tail",10
"Umbrella",10
"Wall",10
"Window",10
"Wing",10
"Attalea speciosa",11
"Cliff",11
"Eye",11
"Illustration",11
"Lawn",11
"Marine invertebrates",11
"Metal",11
"Pattern",11
"Play",11
"Produce",11
"Stock photography",11
"Sun",11
"Finial",12
"Formation",12
"Glasses",12
"Infrastructure",12
"Ingredient",12
"Leg",12
"Natural foods",12
"Plain",12
"Shrub",12
"Trail",12
"Walkway",12
"Water transportation",12
"Chute",13
"Eyebrow",13
"Fashion accessory",13
"Fruit",13
"Geology",13
"Lawn ornament",13
"Neighbourhood",13
"Pedestrian",13
"Plant stem",13
"Purple",13
"Spring",13
"Uniform",13
"Wood",13
"Afterglow",14
"Asphalt",14
"Black hair",14
"City",14
"Cottage",14
"Floor",14
"Monochrome",14
"Photograph",14
"Pomacanthidae",14
"Snout",14
"Street",14
"Tropical and subtropical coniferous forests",14
"Wildflower",14
"Bazaar",15
"Black",15
"Car",15
"Facial expression",15
"Fictional character",15
"Friendship",15
"Haze",15
"Hut",15
"Local food",15
"Meal",15
"Snapshot",15
"Terrace",15
"Twig",15
"Vegetable",15
"Youth",15
"Cheek",16
"Estate",16
"Fell",16
"Human",16
"Lip",16
"Monochrome photography",16
"Reservoir",16
"Ruins",16
"Terrestrial animal",16
"Textile",16
"Tropics",16
"World",16
"Hair",17
"Light",17
"Rhesus macaque",17
"Sunlight",17
"Drink",18
"Fog",18
"Night",18
"Performance",18
"Reflection",18
"Residential area",18
"Beauty",19
"Farm",19
"Mist",19
"Sitting",19
"Student",19
"Team",19
"Tower",19
"Blue",20
"Table",20
"Water feature",20
"Wave",20
"Boat",21
"Mammal",21
"Pink",21
"Transport",21
"Waterway",21
"Carnival",22
"Dish",22
"Japanese architecture",22
"Crop",23
"Forehead",23
"Marketplace",23
"Thoroughfare",23
"Town",23
"Village",23
"White",23
"Black-and-white",24
"Coral",24
"Geological phenomenon",24
"Primate",24
"Public space",24
"Tourist attraction",24
"Atmosphere",25
"Calm",25
"Cuisine",25
"Landmark",25
"Macaque",25
"Market",25
"Mode of transport",25
"Skin",25
"Adventure",26
"Botanical garden",26
"Headgear",26
"Perching bird",26
"Plant community",26
"River",26
"Roof",26
"Selling",26
"Interior design",27
"Pagoda",27
"Swimming pool",27
"Toddler",27
"Coral reef fish",28
"Selfie",28
"Vertebrate",28
"Branch",29
"Head",29
"Petal",29
"Beak",30
"Grassland",30
"Arecales",31
"Face",31
"Invertebrate",31
"Nose",31
"Woody plant",31
"Biome",32
"Coral reef",32
"Food",32
"Green",32
"Pond",32
"Coastal and oceanic landforms",33
"Agriculture",34
"Chinese architecture",34
"Home",34
"Bird",35
"Carving",36
"Furniture",36
"Garden",36
"Monument",37
"Summer",37
"Waterfall",38
"Leaf",40
"Shrine",40
"Happy",41
"Ridge",41
"Community",42
"Field",42
"Terrestrial plant",42
"Evening",43
"Lake",43
"Plantation",44
"Reef",44
"Resort",44
"Rock",44
"Stone carving",44
"Paddy field",45
"Real estate",45
"Sunrise",45
"Soil",46
"Wat",48
"Sunset",49
"Ceremony",50
"Forest",50
"Beach",51
"Grass family",51
"Road",52
"Watercourse",52
"Palm tree",54
"Festival",55
"Rainforest",55
"Shore",55
"Recreation",57
"Flowering plant",58
"Crowd",59
"Ritual",59
"Land lot",60
"Coast",62
"Sculpture",62
"Statue",64
"Wildlife",64
"Marine biology",65
"Underwater",65
"Historic site",66
"Room",66
"Fish",68
"Vehicle",68
"Body of water",69
"Morning",69
"Hindu temple",70
"Mountain range",70
"Art",77
"Travel",77
"Child",79
"Ocean",82
"Property",82
"Water resources",85
"Smile",88
"Rural area",91
"Jungle",92
"Tradition",93
"Atmospheric phenomenon",95
"Horizon",95
"Fun",96
"Organism",98
"People",100
"Wilderness",101
"House",104
"Landscape",105
"Flower",106
"Hill",108
"Grass",112
"Photography",112
"Natural environment",118
"Adaptation",119
"Sea",119
"Mountainous landforms",124
"Place of worship",129
"Botany",132
"Highland",147
"Vacation",158
"Event",167
"Nature reserve",170
"Cloud",174
"Architecture",177
"Mountain",178
"Leisure",183
"Building",190
"Hill station",196
"Water",199
"Vegetation",203
"Tourism",233
"Natural landscape",261
"Nature",277
"Temple",330
"Plant",348
"Tree",419
"Sky",425
