"KARANGASEM","Freq"
"Hermit crab",4
"Hydrangeaceae",4
"Inlet",4
"Iron",4
"Lawn",4
"Lawn ornament",4
"Leg",4
"Light",4
"Linens",4
"Lunch",4
"Mantis shrimp",4
"Market",4
"Metal",4
"Metropolitan area",4
"Orange",4
"Palace",4
"Park",4
"Personal protective equipment",4
"Plant stem",4
"Produce",4
"Rafting",4
"Recipe",4
"Scuba diving",4
"Sea anemone",4
"Shack",4
"Signage",4
"Stony coral",4
"Sunglasses",4
"Traffic",4
"Tropical and subtropical coniferous forests",4
"Twig",4
"Umbrella",4
"Visual arts",4
"Wind wave",4
"World",4
"Afterglow",5
"Banana family",5
"Bicycle",5
"Boating",5
"Cheek",5
"Dusk",5
"Hand",5
"Head",5
"Headpiece",5
"Houseplant",5
"Hydrangea",5
"Ingredient",5
"Maya city",5
"Mineral",5
"Nose",5
"Pink",5
"Plain",5
"Pomacentridae",5
"Reptile",5
"Selling",5
"Ship",5
"Sitting",5
"Skin",5
"Snails and slugs",5
"Still life photography",5
"Swimming pool",5
"Technology",5
"Terrestrial animal",5
"Trunk",5
"Urban area",5
"Vertebrate",5
"water lily",5
"Ancient history",6
"Aqua",6
"Boats and boating--Equipment and supplies",6
"Bony-fish",6
"Calm",6
"Ceiling",6
"Cottage",6
"Crop",6
"Eco hotel",6
"Facade",6
"Fashion accessory",6
"Fungus",6
"Hair",6
"Infrastructure",6
"Memorial",6
"Panorama",6
"Snapshot",6
"Space",6
"Sunrise",6
"Table",6
"Yellow",6
"Finial",7
"Forest",7
"Furniture",7
"Happy",7
"Helmet",7
"Motorcycling",7
"Night",7
"Pasture",7
"Red",7
"Stock photography",7
"Thatching",7
"Tower",7
"Wave",7
"Arch",8
"Bay",8
"Black",8
"Evening",8
"Eyewear",8
"Face",8
"Motorcycle",8
"Petal",8
"Ridge",8
"Yard",8
"Canal",9
"Cool",9
"Crowd",9
"Fountain",9
"Human settlement",9
"Lane",9
"Meal",9
"Motor vehicle",9
"Pest",9
"Textile",9
"Toddler",9
"Tradition",9
"Walkway",9
"Wood",9
"Aquatic plant",10
"Archaeological site",10
"Atmosphere",10
"Biome",10
"Bridge",10
"Crustacean",10
"Decapoda",10
"Dish",10
"Estate",10
"Grassland",10
"Green",10
"Lake",10
"Public space",10
"Selfie",10
"Sunset",10
"Wall",10
"Carving",11
"Community",11
"Geological phenomenon",11
"Insect",11
"Japanese architecture",11
"Outdoor recreation",11
"Photograph",11
"Play",11
"Room",11
"Spring",11
"Turquoise",11
"Watercraft",11
"Asphalt",12
"Close-up",12
"Flatworm",12
"Hut",12
"Landscaping",12
"Mountain range",12
"Rainforest",12
"Shrine",12
"Car",13
"City",13
"Landmark",13
"Marine invertebrates",13
"Morning",13
"Pagoda",13
"Pattern",13
"Trail",13
"Tropics",13
"White",13
"Adventure",14
"Blue",14
"Farm",14
"Monochrome",14
"Summer",14
"Water transportation",14
"Cuisine",15
"Fish pond",15
"Home",15
"Monochrome photography",15
"Monument",15
"Street",15
"Terrace",15
"Terrestrial plant",15
"Tourist attraction",15
"Agriculture",16
"Arecales",16
"Boat",16
"Grass family",16
"Headgear",16
"Plant community",16
"Ruins",16
"Sand",16
"Thoroughfare",16
"Water feature",16
"Wilderness",16
"Branch",17
"Coral reef fish",17
"Food",17
"Mountainous landforms",18
"Shrub",18
"Wildlife",18
"Leaf",19
"Residential area",19
"Atmospheric phenomenon",20
"Chinese architecture",20
"Field",20
"Resort",20
"Rock",20
"Transport",20
"Flowering plant",21
"Hill",21
"Mode of transport",21
"Paddy field",21
"Stone carving",21
"Woody plant",21
"Black-and-white",22
"Jungle",22
"Coastal and oceanic landforms",23
"Coral",23
"Neighbourhood",23
"Wat",23
"Event",24
"Palm tree",24
"Smile",24
"Sea slug",25
"Statue",25
"Town",25
"Child",26
"Mountain",27
"People",27
"Village",27
"Bank",28
"Plantation",28
"Sculpture",28
"Travel",28
"Reflecting pool",29
"Soil",29
"Horizon",30
"Fun",31
"Land lot",31
"Roof",31
"Watercourse",31
"Coral reef",32
"Real estate",32
"Reservoir",32
"Highland",33
"Shore",35
"Body of water",36
"Natural environment",36
"Beach",37
"Road",37
"Art",38
"Recreation",38
"River",38
"Cloud",39
"Reflection",40
"Hindu temple",43
"Macro photography",43
"Property",45
"Botanical garden",48
"Nature reserve",48
"Place of worship",51
"Photography",52
"Vehicle",52
"House",53
"Ocean",53
"Coast",54
"Flower",55
"Invertebrate",56
"Rural area",57
"Waterway",57
"Adaptation",58
"Reef",64
"Garden",65
"Grass",67
"Historic site",70
"Vacation",70
"Water resources",72
"Fish",74
"Hill station",77
"Leisure",77
"Sea",79
"Vegetation",79
"Landscape",80
"Nature",80
"Pond",93
"Natural landscape",97
"Tourism",98
"Underwater",107
"Botany",110
"Marine biology",116
"Sky",127
"Building",130
"Architecture",133
"Temple",143
"Plant",162
"Organism",168
"Water",173
"Tree",218
